Source: Keine befreiende Novelle für Tymoshenko durch das Parlament|Result: no <unk> amendment to the european parliament 's legislative proposals <eos>|Target: Parliament Does Not Support Amendment Freeing Tymoshenko
Source: Schon die Lage ist klassisch.|Result: the location is classic . <eos>|Target: The location alone is classic.
Source: Die Bank hat ihren Hauptsitz an der Züricher Bahnhofstraße, die vom Hauptbahnhof aus direkt zum Zürichsee führt, der von den schneebedeckten Gipfeln der Schweizer Berge umrahmt wird.|Result: the bank has its headquarters at the <unk> <unk> , which runs directly from the main station to lake zurich , surrounded by the snow - capped peaks of the swiss mountains . <eos>|Target: The bank has its head office on Zurich's Bahnhofstrasse that leads from the main station directly to Zurich Lake, surrounded by the snow-capped peaks of the Swiss mountains.
Source: Die Gebäude hier sind prunkvoll, die Ladenmieten gehören zu den höchsten in Europa.|Result: the buildings here are <unk> , the <unk> belong to the highest in europe . <eos>|Target: The buildings are ostentatious and the shop rates are among the highest in Europe.
Source: Juweliere wie Tiffany's findet man hier zwischen Schweizer Traditionsgeschäften wie der Confiserie Sprüngli.|Result: <unk> like <unk> can be found here between swiss <unk> such as the <unk> <unk> . <eos>|Target: Jewellers such as Tiffany's are to be found here between traditional Swiss shops such as Confiserie Sprüngli.
Source: Seit Jahrhunderten residieren hier die Schweizer Banken: von der Nationalbank über den Palast der Credit Suisse bis hin zu elitären Privatbanken wie Julius Bär.|Result: for centuries , swiss banks have been <unk> here : from the national bank to the palace of credit suisse to elite private banks like julius baer . <eos>|Target: The Swiss banks have resided here for hundreds of years - from the National Bank to the palace of Credit Suisse and elite private banks such as Julius Bär.
Source: Den Empfangssaal der UBS betritt man durch eine schwere Drehtür.|Result: the <unk> of ubs is entered by a heavy <unk> . <eos>|Target: A heavy revolving door opens onto the UBS reception.
Source: Drinnen sind die Wände marmorverkleidet, davor stehen dicke Ledersessel, neben dem Bank-Logo ein großes Hinweisschild zum "Safe".|Result: inside the walls are <unk> , there are thick <unk> , next to the <unk> a large sign to the " safe " . <eos>|Target: The walls within are clad in marble behind vast leather armchairs. There is a large sign to the "Safe" next to the bank's logo.
Source: Die UBS weiß, was der Kunde hier sucht: Sicherheit.|Result: ubs knows what the customer is looking for here : security . <eos>|Target: UBS knows that its clients are looking for - security.
Source: Diese Idee der Schweizer Bank haben beide Schweizer Großbanken, UBS und Credit Suisse, jedoch irgendwann verdrängt - oder verraten, wie der Chef einer kleinen Schweizer Privatbank findet.|Result: this idea of the swiss bank has <unk> both swiss banks , ubs and credit suisse , but eventually <unk> - or betrayed how the head of a small swiss private bank finds . <eos>|Target: But both the major Swiss banks, UBS and Credit Suisse, at some point ousted the Swiss banking concept - or betrayed it, as the head of one small Swiss private bank believes.
Source: Seinen Namen möchte er lieber nicht in der Zeitung lesen, schließlich macht er, wie alle Schweizer Bankiers, auch mit den beiden Großbanken Geschäfte.|Result: he would not like to read his name in the newspaper , after all , like all swiss bankers , he does business with the two big banks . <eos>|Target: He would prefer not to see his name in the newspaper - he too, like all Swiss bankers, does business with the two major banks.
Source: Die UBS sei viel zu groß geworden, findet er - vor allem im Investmentbanking, wo sich zudem die Angelsachsen ausgebreitet hätten.|Result: ubs has become far too big , it finds itself - especially in the financial sector , where it would have spread over the financial markets . <eos>|Target: He believes UBS has grown too big - particularly in investment banking where the Anglo-Saxons are also very active.
Source: Die Schweizer hätten dort nichts mehr zu sagen.|Result: the swiss would have nothing to say there . <eos>|Target: In his opinion, the Swiss have nothing to add.
Source: "Und wenn doch, haben sie sich längst den Sitten der Angelsachsen angepasst."|Result: " and if so , they have long adapted the habits of the <unk> . " <eos>|Target: "And if they do, they have adapted to the customs of the Anglo-Saxons long ago."
Source: Tatsächlich war es das angelsächsische Investmentbanking, das die UBS veränderte, ihr erst hohe Gewinne bescherte und dann das Debakel: Kein europäisches Finanzinstitut hat im Subprime-Dschungel so viel Geld verloren wie die Schweizer Großbank.|Result: indeed , it was the <unk> <unk> , which changed ubs , which gave it high profits and then the debacle : no european financial institution has lost as much money as the swiss <unk> . <eos> <eos>|Target: It was in fact Anglo-Saxon investment banking that changed UBS, brought in its first big profits - and then the debacle. No other European financial institution has lost as much money in the subprime jungle as the major Swiss bank.
Source: Am 15. Oktober 2008 wurde die Katastrophe sichtbar.|Result: on 15 october 2008 , the disaster was visible . <eos>|Target: The catastrophe became evident on 15 October 2008.
Source: "An jenem Mittwoch beschloss die Regierungskoalition des kleinen Siebenmillionenlandes die größte Rettungsaktion in der Geschichte ihrer Nation", schreibt der Autor Lukas Hässig in seinem Buch "Der UBS-Crash".|Result: " on that wednesday , the coalition government of the small <unk> decided the largest bailout in the history of their nation , " writes the author luke <unk> in his book " the <unk> " . <eos>|Target: "That Wednesday, the government coalition of a small country with a population of seven million undertook the largest rescue operation in the history of the nation," writes author Lukas Hässig in his book The UBS Crash.
Source: Bis zu 68 Milliarden Franken oder rund 45 Milliarden Euro bewilligten die Politiker, um die vor dem Bankrott stehende Großbank zu retten.|Result: up to eur 68 billion , or about eur 45 billion , policymakers agreed to rescue the <unk> that is facing bankruptcy . <eos>|Target: The politicians approved up to 68 billion Swiss francs (around 45 billion Euros) to save the bank from bankruptcy.
Source: Wie konnte es dazu kommen?|Result: how could this be done ? <eos>|Target: How could it have come to that?
Source: Spricht man mit Schweizer Bankern, so sehen sie das Problem vor allem in der Größe der UBS.|Result: speaking with swiss bankers , you see the problem above all in the size of ubs . <eos>|Target: Talking to Swiss banks, they see the issue mainly in the size of UBS.
Source: Im Juni 1998 schlossen sich zwei der drei Schweizer Großbanken zu einem gewaltigen Konzern zusammen.|Result: in june 1998 , two of the three swiss big banks joined a huge group . <eos>|Target: Two of the three major Swiss banks consolidated into a single, vast group in June 1998.
Source: Es entstand eine Bank, die schon bei der Fusion zu groß war für die kleine Schweiz - und immer weiter wuchs.|Result: it was created a bank that was too big for the small switzerland - and grew ever more . <eos>|Target: A bank was created that was already too big for small Switzerland when the merger was agreed - and a bank that continued to grow.
Source: Dabei half, dass sich die beiden unterschiedlichen Vorläufer-Banken der UBS ergänzten: eine reiche, aber verschlafene Bank mit dem Schwerpunkt Vermögensverwaltung in Zürich und eine ärmere, aber schon stärker internationalisierte.|Result: in this way , the two different financial institutions of ubs amended : a rich but <unk> bank with the focus on asset management in zurich and a poorer but already more <unk> . <eos>|Target: The fact that the two banks that went to form UBS complemented each other helped. One was a wealthy but sedate bank specialising in asset management in Zurich and the other was less wealthy, but much more internationalised.
Source: Plötzlich kamen die internationalisierten Investmentbanker günstig an viel Geld, mit dem sie ein riesiges Rad drehen konnten.|Result: suddenly , the <unk> <unk> arrived at a lot of money with which they could turn a huge wheel . <eos>|Target: The internationalised investment bankers suddenly had access to a lot of money that they could use to turn an almighty wheel.
Source: Zwei Namen sind mit diesem Aufstieg der UBS verbunden: Peter Wuffli, von 2001 bis 2007 Konzernchef der UBS, und Marcel Ospel, damals Vorsitzender des Verwaltungsrats.|Result: two names are associated with this rise of ubs : peter <unk> , from 2001 to 2007 <unk> of ubs , and marcel <unk> , then chairman of the board of directors . <eos>|Target: Two names are connected with the rise of UBS: Peter Wuffli, Group CEO of UBS from 2001 to 2007, and Marcel Ospel, Chairman of the Board of Directors.
Source: "Ich dachte immer, Wuffli und Ospel seien ein Traumteam", sagt Bankenforscher Hans Geiger.|Result: " i always thought <unk> and <unk> were a <unk> " , says <unk> hans <unk> . <eos>|Target: "I always thought that Wuffli and Ospel were a dream team," says the banking research, Hans Geiger.
Source: "Wuffli, der Hochintellektuelle, Bescheidene, der viel von Modellen und Statistik versteht, und Ospel, der Bauchmensch, der sich von der Banklehre bis ganz oben heraufgearbeitet hat."|Result: " <unk> , the <unk> , modest , which understands a lot of models and statistics , and <unk> , the <unk> , which has <unk> from the <unk> to the top . " <eos>|Target: "Wuffli, highly intellectual, modest, with a deep understanding of models and statistics, and Ospel, with gut instinct who had worked his way up from being a banker's apprentice."
Source: Aber Ospel habe sich zum Schluss auf Wuffli verlassen.|Result: but <unk> finally left on <unk> . <eos>|Target: But Ospel in the end relied on Wuffli.
Source: Und Wuffli habe am Ende wahrscheinlich einen entscheidenden Fehler gemacht: "Er dachte, seine Modelle seien die Wirklichkeit", sagt Geiger.|Result: and <unk> probably made a decisive mistake at the end : " he thought his models were the reality " , says <unk> . <eos>|Target: And Wuffli ultimately may have made a critical error. "He thought his models were reality," says Geiger.
Source: "Das ist ein tragischer Fall."|Result: " this is a tragic case . " <eos>|Target: "That is tragic."
Source: Tragisch, vielleicht.|Result: tragic , perhaps . <eos>|Target: Tragic it may be.
Source: Klar ist: Übermut kam vor dem Fall.|Result: clearly , <unk> came before the case . <eos>|Target: Pride comes before a fall.
Source: Mitarbeiter der UBS erinnern sich deutlich an die Führungskräfte-Meetings, auf denen Konzernchef Wuffli immer wieder dieselbe Parole ausgab: Goldman Sachs vom Thron stoßen.|Result: employees of ubs clearly remember the <unk> , where <unk> <unk> repeatedly <unk> the same slogan : goldman sachs from the throne . <eos>|Target: Employees of UBS clearly remember the management meetings where CEO Wuffli always repeated the same slogan - dethrone Goldman Sachs.
Source: Die amerikanische Bank war die mächtigste Investmentbank der Erde.|Result: the american bank was the most powerful investment bank in the world . <eos>|Target: The American bank was the world's most powerful investment bank.
Source: Sie führte die "League Tables" an, die Ranglisten, die den Erfolg der Banken jener Zeit dokumentierten.|Result: it led the " league tables " , the ranking , which documented the success of the banks of that time . <eos>|Target: It led the "league tables" that documented the success of the banks at that time.
Source: Dahin wollte die UBS, nach ganz oben.|Result: then , ubs wanted to go up . <eos>|Target: UBS wanted to get to the very top of the league.
Source: Einige Schritte waren ihr schon geglückt.|Result: some steps have already been taken . <eos>|Target: It managed some of the way.
Source: Im Devisengeschäft und im Aktienhandel spielte sie ganz oben mit.|Result: in the <unk> and in the <unk> she played at the top . <eos>|Target: UBS was a major player in foreign exchange and stocks.
Source: Unternehmensberater, die beauftragt wurden, hoben jedoch eine Schwäche hervor: Im internationalen Zinsgeschäft, in der Bankersprache "Fixed Income", gebe es einen gewaltigen Abstand zu den größten Banken.|Result: however , business consultants who have been commissioned have highlighted a weakness : in the international financial market , in the fixed income market , there is a huge gap between the largest banks . <eos>|Target: Commissioned management consultants, however, pointed out a weakness. In terms of what in banking terminology is referred to as "fixed income," UBS was far behind the very largest banks.
Source: Die UBS habe Lücken bei amerikanischen Hypothekenprodukten.|Result: ubs has gaps in american <unk> . <eos>|Target: UBS had gaps in its US mortgage products.
Source: Um diese Lücke zu schließen, begab sich UBS in ein Abenteuer, das sie fast die Existenz kostete.|Result: in order to close this gap , ubs came to an adventure that almost cost it the existence . <eos>|Target: To plug the hole, UBS entered on an adventure that almost cost it its existence.
Source: Hungrig nach Wachstum, investierten sowohl die Bank selbst als auch ein vor ihr gegründeter Hedgefonds in amerikanische Subprime-Anlagen.|Result: hungry for growth , both the bank itself and a hedge fund invested in american equity markets before it . <eos>|Target: Hungry for growth, the bank itself and a hedge fund founded by the bank invested in US subprime securities.
Source: Sie entwickelte sich zu einer gewaltigen Maschine, die Wertpapiere auf amerikanische Hypothekenkredite verpackte und weiterreichte - dabei aber auch selbst Risiken behielt.|Result: it has developed into a huge machine that packaged and <unk> securities on american securities , but also kept risks . <eos>|Target: It developed into a vast machine that packaged up securities based on US mortgage credit and passed them on - while itself continuing to bear risks.
Source: Auch noch, als andere Banken längst den Ausstieg suchten.|Result: even when other banks have long sought to exit . <eos>|Target: Even when other banks had long been looking for a way out, UBS carried on.
Source: "Noch im Sommer 2007, als der amerikanische Immobilienmarkt in Flammen stand, hat die UBS dort gekauft", sagt Bankenexperte Geiger.|Result: " in the summer of 2007 , when the american housing market was in flames , ubs bought it there " , says <unk> <unk> . <eos>|Target: "UBS was buying as late as the summer of 2007 when the US housing market was in flames," says banking expert Geiger.
Source: So groß die Euphorie, so tief der Fall.|Result: so great the euphoria , so deep the case . <eos>|Target: The greater the rise, the greater the fall.
Source: Ein Manager nach dem anderen musste gehen, als die Versuche aufzuräumen schwieriger ausfielen als gedacht.|Result: a manager after the other had to go when trying to clean up more difficult <unk> than intended . <eos>|Target: One manager after the next had to go as the attempts to clean up proved more difficult than anticipated.
Source: Posten bei der UBS wurden zum Schleudersitz und sind bis heute wackelig.|Result: posts at ubs became the <unk> and are still <unk> . <eos>|Target: Posts at UBS became a game of musical chairs and remain uncertain to this day.
Source: Wer die Großbank jetzt führt, hat einen beinahe unmöglichen Job.|Result: anyone who is now running the <unk> has an almost impossible job . <eos>|Target: Any head of the major bank now has an almost impossible job.
Source: Er muss eine Strategie für eine Bank finden, der alle naheliegenden Geschäftsmodelle abhandengekommen sind.|Result: it needs to find a strategy for a bank that is all of the obvious business models . <eos>|Target: He must find a strategy for a bank that has turned its back on all existing business models.
Source: Bankenforscher Geiger hat schon eine Idee: Schluss mit dem Investmentbanking, Konzentration auf die Vermögensverwaltung, Rückkehr zu den Schweizer Wurzeln.|Result: <unk> <unk> has an idea : finish with the <unk> , focus on asset management , return to swiss roots . <eos>|Target: Banking expert Geiger already has an idea - quit investment banking, focus on asset management and turn back to Swiss roots.
Source: Ganz so weit will die Bank zwar (noch) nicht gehen.|Result: so far , the bank does not want to go ( yet ) . <eos>|Target: The bank, however, is not (yet) prepared to go that far.
Source: Aber das Investmentbanking soll kräftig schrumpfen, so viel ist jetzt schon klar.|Result: but the <unk> is to shrink sharply , so much is already clear . <eos>|Target: It is clear, nonetheless, that investment banking must shrink significantly.
Source: Am kommenden Donnerstag will der neue Bankchef Sergio Ermotti der Welt seine künftige Strategie vorstellen.|Result: next thursday , the new <unk> sergio <unk> will present his future strategy . <eos>|Target: The new head of the bank, Sergio Ermotti, plans to present his future strategy to the world on Tuesday.
Source: Der 51 Jahre alte Italo-Schweizer war eigentlich nur als Übergangslösung gedacht, als die Bank sich überraschend von Vorgänger Grübel trennte.|Result: in fact , the 51 - year - old <unk> was intended only as a temporary solution when the bank was surprisingly divided by predecessors . <eos>|Target: The 51-year-old Italo-Swiss banker was actually only imagined as a transitional solution when the bank parted ways unexpectedly with his predecessor Grübel.
Source: Mittlerweile hat er sich durchgesetzt: Er soll dauerhaft die Geschäfte der UBS führen, teilte die Züricher Bank am Dienstag mit.|Result: he has now succeeded in doing so : he is to run the ubs business permanently , informed the <unk> bank on tuesday . <eos>|Target: Since then, he has proved his mettle and is now to head UBS permanently, the Zurich-based bank announced on Tuesday.
Source: Ermotti will die Investmentbank auf den Stand Mitte der neunziger Jahre zurückfahren.|Result: <unk> wants to cut the investment bank back to the booth in the mid-1990s . <eos>|Target: Ermotti plans to take the investment bank back to where it was in the mid-90s.
Source: 3500 Stellen streicht er.|Result: it removes 3500 posts . <eos>|Target: He is cutting 3500 jobs.
Source: Das wird aber nicht reichen.|Result: but that will not be enough . <eos>|Target: But that will not be enough.
Source: Die UBS braucht eine Vision.|Result: the ubs needs a vision . <eos>|Target: UBS needs a vision.
Source: Wer ist sie?|Result: who is it ? <eos>|Target: What is UBS?
Source: Womit will sie Geld verdienen?|Result: what do you want to earn money ? <eos>|Target: How does it plan to make money?
Source: Das sind die Fragen, die sich Axel Weber sicher jetzt schon stellt.|Result: these are the questions that axel weber is certainly already asking . <eos>|Target: Those are the questions Axel Weber is definitely already asking himself.
Source: Öffentlich sagt er bislang nur, er werde sich mit seiner Frau erst einmal eine Wohnung in Zürich suchen.|Result: in public , he only says that he will look for an apartment in zurich with his wife . <eos>|Target: Publicly, he has only so far that he and his wife will look for a flat in Zurich.
Source: Nächstes Jahr.|Result: next year . <eos>|Target: Next year.
Source: Angst vor Rezession in Europa belastet US-Börse|Result: fear of recession in europe <unk> <eos>|Target: Fear of recession in Europe depresses US stock exchange
Source: Die drohende Rezession in Europa hat den US-Investoren zum Wochenauftakt den Mut genommen.|Result: the looming recession in europe has taken the courage of the <unk> to the <unk> . <eos>|Target: The impending recession in Europe has depressed the mood of US investors at the start of the week.
Source: Die Regierungswechsel in Athen und Rom blieben ohne Schlagkraft.|Result: the change of government in athens and rome remained without any influence . <eos>|Target: The change of government in Athens and Rome had little impact.
Source: Die gedrosselte Industrieproduktion auf dem Kontinent erstickte die Hoffnungen auf eine Stabilisierung der Schuldenkrise im Keim.|Result: industrial production on the continent <unk> hopes for stabilising the debt crisis . <eos>|Target: Curbed industrial production on the continent nipped hopes that the debt crisis might stabilise in the bud.
Source: Die allgemeine Erleichterung über die Regierungswechsel in Rom und Athen konnte sich nicht durchsetzen.|Result: the general relief over the change of government in rome and athens could not be achieved . <eos>|Target: The general relief following the change of government in Rome and Athens was not sustained.
Source: Der Euro fiel gegenüber dem Dollar.|Result: the euro fell against the dollar . <eos>|Target: The Euro fell against the dollar.
Source: Das italienische und griechische Glas habe in der vergangenen Woche noch als halb voll gegolten, nicht als halb leer - jetzt drängten sich aber wieder die Probleme in den Vordergrund, sagte Mark Luschini von Janney Montgomery Scott.|Result: the italian and greek glass was still considered half full last week , not half empty , but now again the problems were raised , said mark <unk> of <unk> montgomery scott . <eos>|Target: The Italian and Greek glass was still considered half full last week, not half empty - now the problems are coming to the fore once again, said Mark Luschini of Janney Montgomery Scott.
Source: Vor allem Finanzwerte standen auf den Verkaufszetteln.|Result: in particular , <unk> were on the <unk> . <eos>|Target: Financial stocks in particular were on the sales receipts.
Source: Der Dow-Jones-Index der Standardwerte notierte zum Handelsschluss mit einem Minus um 0,6 Prozent bei 12.078 Punkten.|Result: the <unk> of the default values was recorded to the <unk> with a minus 0.6 % at <unk> points . <eos>|Target: The Dow Jones Industrial Average closed business at 12,078 with a fall of 0.6 percent.
Source: Im Handelsverlauf pendelte das Marktbarometer zwischen 12.027 und 12.170 Punkten.|Result: in the <unk> <unk> the <unk> between <unk> and <unk> points . <eos>|Target: The market barometer fluctuated between 12,027 and 12,170 points in the course of trading.
Source: Der breiter gefasste S&P-500-Index schloss bei 1251 Punkten, ein Minus von einem Prozent.|Result: the broad <unk> castle at <unk> points , a minus of one percent . <eos>|Target: The broader S&P 500 index closed at 1251 point, down one percent.
Source: Der Index der Technologiebörse Nasdaq verlor 0,8 Prozent und ging mit 2657 Punkten aus dem Handel.|Result: the index of <unk> nasdaq lost 0.8 % and went out of trade with <unk> points . <eos>|Target: The Nasdaq Technology Index lost 0.8 percent and closed trading at 2657 points.
Source: In Frankfurt verabschiedete sich der Dax mit einem Minus von 1,2 Prozent bei 5985 Zählern.|Result: in frankfurt , the dax agreed with a minus of 1.2 % at <unk> <unk> . <eos>|Target: In Frankfurt, the Dax fell 1.2 percent closing at 5985 points.
Source: Die Industrie in den 17 Euro-Ländern hat ihre Produktion deutlich reduziert und stellt sich auf das Ende des Aufschwungs ein.|Result: industry in the 17 <unk> has significantly reduced its production and is aiming at the end of the recovery . <eos>|Target: Industry in the 17 Euro countries has significantly reduced production and is adjusting to the end of the upturn.
Source: Die Unternehmen produzierten im September zwei Prozent weniger her als im Vormonat, wie das Statistikamt Eurostat mitteilte.|Result: in september , the companies produced two percent less than in the <unk> , as the eurostat <unk> announced . <eos>|Target: The Eurostat statistics office announced that, in September, companies produced two percent less than in the previous month.
Source: Das stimmte die US-Investoren skeptisch: "Wir sind keine Insel, sondern abhängig", sagte Steve Goldman von Goldman Management.|Result: that was the <unk> sceptical : " we are not an island but dependent , " said steve goldman von goldman management . <eos>|Target: The announcement made US investors sceptical. "We are not an island. We are dependent," said Steve Goldman of Goldman Management.
Source: Europa werde sich so schnell nicht aus einer Rezession befreien können, zudem gebe es weitere Zeichen der Schwäche bei den Banken.|Result: europe will not be able to rid itself of recession so quickly , and there are other signs of weakness among banks . <eos>|Target: He also claimed that Europe is not likely to shake off a recession quickly and that there are further signs of weakness in the banks.
Source: Die Investmentlegende Warren Buffett bestätigte diese Vorsicht nur: Es sei noch nicht klar, ob Europa stark genug sei, alles für ein Ende der Krise zu tun, sagte er in einem CNBC-Interview.|Result: the <unk> warren <unk> only confirmed this caution : it is not yet clear whether europe is strong enough to do everything for an end to the crisis , he said in a <unk> . <eos>|Target: The investment legend, Warren Buffett, could only support such caution. In a CNBC interview, he said that it was not yet clear whether Europe is strong enough to do all that is needed to end the crisis.
Source: Deswegen sei es aus seiner Sicht zu früh, in europäische Staatsanleihen oder Banken zu investieren.|Result: that is why it is too early to invest in european government bonds or banks . <eos>|Target: In his opinion, it is therefore too early to invest in European government bonds or banks.
Source: Stattdessen warf Buffett ein Jahrzehnte altes Prinzip über den Haufen und stieg in die US-Technologiebranche ein.|Result: instead , <unk> threw a decades old principle over the pile and rose into the <unk> . <eos>|Target: Instead, Buffett threw a decades-old principle out of the window to invest in the US technology industry.
Source: Seine Investition über mehr als zehn Milliarden Dollar in IBM stützte den Aktienkurs des Traditionskonzerns und ließ ihn gegen den Trend im Handelsverlauf zunächst knapp ein Prozent höher notieren.|Result: his investment of more than $ 10 billion in ibm was based on the share price of the <unk> , and initially made him pay close to one percent against the trend in the <unk> . <eos>|Target: His investment of more than ten billion dollars in IBM boosted the veteran company's share price by almost one percent against the trend during the course of trading.
Source: Das Papier schloss nahezu unverändert bei 187,35 Dollar.|Result: the paper was almost unchanged at $ <unk> . <eos>|Target: The shares closed almost unchanged at 187.35 dollars.
Source: Buffett hat nach eigenen Angaben durchschnittlich 170 Dollar je Stück bezahlt und hält nun 5,5 Prozent.|Result: <unk> has paid an average of 170 dollars per piece according to its own data , and now holds 5.5 % . <eos>|Target: Buffett claims to have paid 170 dollars on average per share and now has a 5.5 percent stake.
Source: Der Aktienkurs seiner Investmentfirma Berkshire Hathaway verlor 1,3 Prozent.|Result: the share price of its <unk> <unk> lost 1.3 % . <eos>|Target: The share price of his investment company Berkshire Hathaway fell 1.3 percent.
Source: Anteilscheine der Bank of America gaben mit 2,6 Prozent deutlich stärker nach als der Markt.|Result: <unk> of the bank of america , with 2.6 % , significantly increased than the market . <eos>|Target: Bank of America share certificates fell significantly more strongly than the market by 2.6 percent.
Source: Das Haus versilbert fast den gesamten Rest seiner Anteile an der China Construction Bank und streicht dafür 6,6 Milliarden Dollar ein.|Result: the house <unk> almost the rest of its shares in china construction bank and <unk> $ 6.6 billion in it . <eos>|Target: The bank is converting almost all its remaining shares in the China Construction Bank into cash, bringing in 6.6 billion dollars.
Source: Das Institut will mit dem Netto-Gewinn aus dem Geschäft vor allem seine Kapitalquote aufpolstern und damit härteren Regulierungsvorgaben nachkommen.|Result: the institute wants to carry out its work with the <unk> from the business , especially its <unk> and thus tougher <unk> . <eos>|Target: The bank primarily plans to bolster its capital quota with the net profit from the sale to meet tougher regulations.
Source: Der Flugzeugbauer Boeing legte zu und begrenzte damit die Verluste im Dow.|Result: the <unk> boeing placed and limited the losses in the dow . <eos>|Target: The aircraft manufacturer Boeing gained, limiting losses on the Dow.
Source: Die Aktie gewann 1,5 Prozent, nachdem der Konzern den größten Auftrag seiner Geschichte eingesammelt hatte.|Result: the share won 1.5 % after the group had collected the largest order of its history . <eos>|Target: The share price went up 1.5 percent after the corporation picked up the biggest order in its history.
Source: Airline Emirates bestellte am Sonntag 50 Langstrecken-Maschinen des Typs 777 und bezifferte den Wert der Order auf 18 Milliarden Dollar.|Result: the airline emirates ordered 50 <unk> of the type 777 and <unk> the value of the order to $ 18 billion on sunday . <eos>|Target: The Emirates airline ordered 50 long-range type 777 aeroplanes on Sunday with an order value of 18 billion dollars.
Source: Einschließlich von Optionen auf 20 weitere Maschinen beläuft sich das Volumen sogar auf 26 Milliarden Dollar.|Result: including options for 20 more machines , the volume is even $ 26 billion . <eos>|Target: Including options to buy 20 more planes, the total volume is in fact 26 billion dollars.
Source: An der New York Stock Exchange wechselten rund 710 Millionen Aktien den Besitzer.|Result: at the new york stock exchange , around <unk> million shares changed the owner . <eos>|Target: Around 710 million shares changed hands on the New York stock exchange.
Source: 719 Werte legten zu, 2281 gaben nach und 79 blieben unverändert.|Result: <unk> values set , <unk> gave up and 79 remained unchanged . <eos>|Target: 719 shares rose, 2281 fell and 79 remained unchanged.
Source: An der Nasdaq schlossen bei Umsätzen von 1,38 Milliarden Aktien 630 im Plus, 1913 im Minus und 82 unverändert.|Result: at the time of sales of <unk> billion shares 630 in plus , in 1913 in the minus and 82 . <eos>|Target: 630 shares finished up, 1913 down and 82 unchanged on the Nasdaq on turnover of 1.38 billion shares.
Source: Intelligente Krähen breiten sich in Städten aus|Result: intelligent transport systems are wide in cities . <eos>|Target: Intelligent crows are spreading in cities
Source: Vielerorts gelten Saatkrähen als "Problemvögel": Doch aus den Städten lassen sich die hochintelligenten Tiere längst nicht mehr vertreiben, behaupten Experten.|Result: in many places , <unk> are regarded as ' <unk> ' : but the <unk> animals are far from being driven out of the cities , and experts claim . <eos>|Target: Rooks are considered problem birds in many places. Experts now say the highly intelligent animals can no longer be driven from cities.
Source: Die einen mögen sie, die anderen möchten sie ganz schnell loswerden: Krähen gehören seit Jahrhunderten zum Stadtbild, doch in vielen Kommunen häufen sich Anwohnerbeschwerden über Dreck und Lärm der Tiere.|Result: the one you like , the others want to get rid of them very quickly : <unk> have been part of the <unk> for centuries , but in many municipalities there are more and more <unk> about dirt and noise of animals . <eos>|Target: Some like the birds, others would like to get rid of them as fast as possible. Crows have been part of the cityscape for hundreds of years, but residents complaining about the filth and noise the animals create are increasing in number in many communities.
Source: Dabei ist ein Mittel gegen die "Problemvögel" bisher nicht in Sicht.|Result: there is no way to combat the ' <unk> ' . <eos>|Target: A solution to the problem birds, however, is far from within reach.
Source: Saatkrähen seien aus den Städten nicht mehr heraus zu bekommen, sagten Experten beim ersten Krähensymposium im ostfriesischen Leer.|Result: <unk> are no longer getting out of the cities , experts said empty at the first <unk> in the <unk> . <eos>|Target: Experts at the first crow symposium in the East Frisian town of Leer have said that rooks can no longer be forced out of cities.
Source: Dort berieten Fachleute aus dem gesamten Bundesgebiet über mögliche Auswege.|Result: there are specialists from all over germany who are interested in the possible <unk> . <eos>|Target: Specialists from all over Germany discussed possible solutions.
Source: Sie suchen Alternativen in den Städten|Result: they seek alternatives in cities <eos> <eos> <eos>|Target: Looking for alternatives in the cities
Source: Naturschützer führten dabei die Probleme in Städten auch auf die Landflucht der besonders geschützten Saatkrähen zurück: Der Chemieeinsatz in der Landwirtschaft vernichte zunehmend die traditionellen Lebensräume.|Result: <unk> also caused problems in cities to the rural exodus of the particularly protected <unk> : the <unk> in agriculture is becoming increasingly the traditional habitat . <eos>|Target: Conservationists stated that migration of specially protected rooks was the root of the problem in cities, pointing out that the use of chemicals in agriculture was increasingly destroying traditional habitats.
Source: Die Jagd, zunehmende Bebauung und das Fällen von typischen Brutbäumen machten den Vögeln das Leben schwer.|Result: the hunt , growing development and the cases of typical <unk> made life difficult for birds . <eos>|Target: Hunting, increasing development and felling of typical breeding trees was making life hard for the birds.
Source: Krähen stehen unter Naturschutz.|Result: <unk> are protected by nature . <eos>|Target: Crows are protected.
Source: Große Kolonien mit mehr als 600 Brutpaaren gibt es unter anderem im westfälischen Soest, im Nordwesten unter anderem in Jever, Diepholz und Achim bei Bremen sowie in Leer.|Result: there are large colonies with more than 600 <unk> , among others in the <unk> <unk> , in the north - west , among others in <unk> , <unk> and achim in bremen , as well as empty ones . <eos>|Target: There are large colonies with more than 600 breeding pairs in the Westphalian town of Soest and in the north-west in Jever, Diepholz, Achim bei Bremen and Leer.
Source: Dort hatte 2005 ein umstrittenes Projekt zur massenhaften Tötung von Krähen im Landkreis für Negativ-Schlagzeilen gesorgt.|Result: there was a controversial project in 2005 for the mass killing of <unk> in the district of <unk> . <eos>|Target: A controversial project to cull crows in Leer was behind negative headlines in 2005.
Source: Kritiker hatten das Fangen der Tiere in Vogelfallen und das Erschlagen mit Knüppeln als besonders brutal bezeichnet.|Result: critics had the catch of animals in <unk> , and the killing of <unk> was called particularly brutal . <eos>|Target: Critics described the capture of the birds in bird traps and how they were beaten to death with clubs as particularly brutal.
